dog_id, age, weight, sex, kind, color, neuter, thumnail, profile, careAddr, careNm	, special, find_place , find_date , end_date
N448528202000890,2020(년생),1(Kg),F,믹스견,흰색,N,http://www.animal.go.kr/files/shelter/2020/07/202009090709728_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009090709728.jpg,경상남도 창원시 마산합포구 진북면 지산2길 139-112 226-19,마산유기동물보호소,검은코/ 남매들과 함께 입소,진동면 광암해안길 137 주변,20200909,20200921
N448528202000889,2020(년생),1(Kg),M,믹스견,흰색/검정/연갈색,N,http://www.animal.go.kr/files/shelter/2020/07/202009090709362_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009090709362.jpg,경상남도 창원시 마산합포구 진북면 지산2길 139-112 226-19,마산유기동물보호소,연갈색 눈썹/ 살색코/ 남매들과 함께 입소,진동면 광암해안길 137 주변,20200909,20200921
N448528202000888,2020(년생),1(Kg),M,믹스견,흰색,N,http://www.animal.go.kr/files/shelter/2020/07/20200909070935_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/20200909070935.jpg,경상남도 창원시 마산합포구 진북면 지산2길 139-112 226-19,마산유기동물보호소,살색/검정코/ 남매들과 함께 입소,진동면 광암해안길 137 주변,20200909,20200921
N448528202000887,2020(년생),1(Kg),M,믹스견,검정,N,http://www.animal.go.kr/files/shelter/2020/07/202009090709159_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009090709159.jpg,경상남도 창원시 마산합포구 진북면 지산2길 139-112 226-19,마산유기동물보호소,볼/발 연갈색/ 남매들과 함께 입소,진동면 광암해안길 137 주변,20200909,20200921
N448528202000886,2020(년생),1(Kg),F,믹스견,흰색,N,http://www.animal.go.kr/files/shelter/2020/07/202009090709230_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009090709230.jpg,경상남도 창원시 마산합포구 진북면 지산2길 139-112 226-19,마산유기동물보호소,살색코/ 남매들과 함께 입소,진동면 광암해안길 137 주변,20200909,20200921
N447519202000290,2018(년생),7(Kg),M,믹스견,흰색,U,http://www.animal.go.kr/files/shelter/2020/07/202009091509200_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009091509200.jpg,경상북도 청도군 화양읍 청화3길 10 (화양읍) 3층 농정과,청도동물보호소,파란색 목끈 있음/ 순한 편,매전면 온막리 24-4,20200909,20200921
N447519202000289,2018(년생),12(Kg),M,믹스견,갈색,U,http://www.animal.go.kr/files/shelter/2020/07/202009100909538_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009100909538.jpg,경상북도 청도군 화양읍 청화3길 10 (화양읍) 3층 농정과,청도동물보호소,사나운편,운문면 청려로 4688-3,20200909,20200921
N447519202000288,2018(년생),8(Kg),F,믹스견,흰색,U,http://www.animal.go.kr/files/shelter/2020/07/202009091509340_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009091509340.jpg,경상북도 청도군 화양읍 청화3길 10 (화양읍) 3층 농정과,청도동물보호소,사나운편,금천면 선암로 575,20200909,20200921
N447516202000135,2015(년생),10(Kg),F,믹스견,흰색,N,http://www.animal.go.kr/files/shelter/2020/07/202009091609319_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009091609319.jpg,경상북도 청송군 현동면 청송로 3128-135 (현동면) ,점곡보호소,새끼6마리,안덕면안덕로27,20200909,20200916
N447509202000299,2020(년생),9.48(Kg),M,믹스견,황색,N,http://www.animal.go.kr/files/shelter/2020/07/202009090909863_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009090909863.jpg,경상북도 영주시 문수면 반구로324번길 135 (문수면) 장수면 반구리 407-8,영주시 동물보호센터,특이사항 없음,영주시 안정면 봉암2리 부근,20200909,20200921
