dog_id, age, weight, sex, kind, color, neuter, thumnail, profile, careAddr, careNm, special, find_place , find_date , end_date
N428349202000839,2014(년생),3(Kg),F,푸들,흰,U,http://www.animal.go.kr/files/shelter/2020/07/202009091809758_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009091809758.jpg,인천광역시 중구 운중로 33 (운남동) ,신공항동물병원,털이 엉키고 눈꼽이 많이 낌,미단시티공원,20200910,20200921
N428349202000838,2014(년생),3.2(Kg),F,푸들,흰,U,http://www.animal.go.kr/files/shelter/2020/07/202009091809870_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009091809870.jpg,인천광역시 중구 운중로 33 (운남동) ,신공항동물병원,털이 엄킴/ 사람 잘 따름 ,미단교회 인근,20200910,20200921
N428349202000837,2014(년생),3.8(Kg),F,푸들,흰,U,http://www.animal.go.kr/files/shelter/2020/07/202009091809440_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009091809440.jpg,인천광역시 중구 운중로 33 (운남동) ,신공항동물병원,털이 엉킴/ 사람 잘 따름/,미단교회 인근,20200910,20200921
N427347202000688,2017(년생),2(Kg),F,치와와,검정,U,http://www.animal.go.kr/files/shelter/2020/07/202009101109417_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009101109417.jpg,대구광역시 동구 금강로 151-13 (금강동) ,대구유기동물보호센터,/,송현동 통큰 회집앞,20200910,20200920
N427347202000687,2017(년생),8(Kg),F,보스턴 테리어,검정/흰색,N,http://www.animal.go.kr/files/shelter/2020/07/202009101109317_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009101109317.jpg,대구광역시 동구 금강로 151-13 (금강동) ,대구유기동물보호센터,등산로 유기,학산공원 등산로,20200910,20200920
N427347202000686,2010(년생),7(Kg),F,보스턴 테리어,검정/흰색,N,http://www.animal.go.kr/files/shelter/2020/07/202009101109860_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009101109860.jpg,대구광역시 동구 금강로 151-13 (금강동) ,대구유기동물보호센터,등산로 유기,학산공원 등산로,20200910,20200920
N427347202000685,2015(년생),7(Kg),F,보스턴 테리어,검정/흰색,N,http://www.animal.go.kr/files/shelter/2020/07/202009101109704_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009101109704.jpg,대구광역시 동구 금강로 151-13 (금강동) ,대구유기동물보호센터,등산로 유기,학산공원 등산로,20200910,20200920
N426336202000568,2018(년생),3(Kg),F,말티즈,흰색,N,http://www.animal.go.kr/files/shelter/2020/07/202009100909733_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009100909733.jpg,부산광역시 강서구 군라2길 206 (대저2동) ,부산동물보호센터,겁이많음,평강로181-22,20200910,20200921
N426334202000868,2014(년생),20(Kg),M,믹스견,검정,U,http://www.animal.go.kr/files/shelter/2020/07/202009101709768_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009101709768.jpg,부산광역시 강서구 가락대로1283번길 25-2 (봉림동) ,유기동물및동물보호협,검정/ 뒷다리부상/ 허약/ 탈진,사하구 감천항로 201-6,20200910,20200921
N426334202000867,2016(년생),2(Kg),F,시츄,검흰,U,http://www.animal.go.kr/files/shelter/2020/07/202009101709403_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009101709403.jpg,부산광역시 강서구 가락대로1283번길 25-2 (봉림동) ,유기동물및동물보호협,유기견,사하구조대,20200910,20200921
N426330202000315,2016(년생),5.5(Kg),M,혼합,흰색,N,http://www.animal.go.kr/files/shelter/2020/07/202009101009184[1]_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009101009184[1].jpg,부산광역시 해운대구 송정2로13번길 46 (송정동) 누리동물병원,누리동물병원,매우사나움/ 털엉킴/ 기력저하/ 흰색,안락sk아파트 115동 주차장,20200910,20200921
N426326202000562,2018(년생),5(Kg),F,보스턴 테리어,검흰,N,http://www.animal.go.kr/files/shelter/2020/07/202009100909912_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009100909912.jpg,부산광역시 강서구 맥도강변길 752-15 (대저2동) ,부산동물보호센터,온순함,충무대로199,20200910,20200921
